Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10377	30/09/2008		I	CI/3	3505	Te Puke Times - Job 7862 - Delivery 17 Sep 2008 - 120 grams	0.09	0.1012	315.45	Te Puke Times	S	39.43	I	106
C10377	30/09/2008		I	CI/4	3505	Te Puke Times - Job 7863 - Delivery 24 Sep 2008 - 75 grams	0.08	0.09	280.4	Te Puke Times	S	35.05	I	106
C10377	30/09/2008		I	FS	1191.7	Fuel Surcharge	0.07	0.08	83.42	Te Puke Times	S	10.43	I	106

C10378	30/09/2008		I	CI/1	3260	Tauranga District Maps - Job 7415 - Delivery IOA - 100 grams	0.1	0.1125	326	Tauranga District Maps	S	40.75	I	107
C10378	30/09/2008		I	CI/2	650	West Coast Post Cards - Job 8110 - Delivery 15 Sep 2008 - 10 grams	0.07	0.0788	45.5	West Coast Post Cards	S	5.69	I	107
C10378	30/09/2008		I	FS	371.5	Fuel Surcharge	0.07	0.08	26.01	West Coast Post Cards	S	3.25	I	107

C10379	30/09/2008		I	CI/1	16082	Bayleys Quarterly LNI - Job 7910 - Delivery IOA - 0 grams	0.125	0.1406	2010.25	Bayleys Quarterly LNI	S	251.28	I	111
C10379	30/09/2008		I	FS	2010.25	Fuel Surcharge	0.07	0.08	140.72	Bayleys Quarterly LNI	S	17.59	I	111

C10380	30/09/2008		I	CI/1	3966	Provincial Property Update by Peter Barnett - Job 8138 - Delivery 23 Sep 2008 - 15 grams	0.085	0.0956	337.11	Provincial Property Update by Peter Barnett	S	42.14	I	111
C10380	30/09/2008		I	FS	337.11	Fuel Surcharge	0.07	0.08	23.6	Provincial Property Update by Peter Barnett	S	2.95	I	111

C10381	30/09/2008		I	CI/1	905	Bill Milham Post Cards - Job 8246 - Delivery IOA - 5 grams	0.08	0.09	72.4	Bill Milham Post Cards	S	9.05	I	114
C10381	30/09/2008		I	CI/2	1000	Bill Milham Post Cards - Job 8122 - Delivery 12 Sep 2008 - 10 grams	0.07	0.0788	70	Bill Milham Post Cards	S	8.75	I	114
C10381	30/09/2008		I	FS	142.4	Fuel Surcharge	0.07	0.08	9.97	Bill Milham Post Cards	S	1.25	I	114

C10382	30/09/2008		I	CI/1	3100	Butler Livestock Services - Job 8094 - Delivery IOA - 25 grams	0.0825	0.0928	255.75	Butler Livestock Services	S	31.97	I	115
C10382	30/09/2008		I	FS	255.75	Fuel Surcharge	0.07	0.08	17.9	Butler Livestock Services	S	2.24	I	115

C10383	30/09/2008		I	CI/1	25943	C-Dax Mid September Dairy Flyer - Job 7904 - Delivery IOA - 10 grams	0.06	0.0675	1556.58	C-Dax Mid September Dairy Flyer	S	194.57	I	116
C10383	30/09/2008		I	CI/2	80202	C-Dax September Flyer - Job 8142 - Delivery IOA - 10 grams	0.06	0.0675	4812.12	C-Dax September Flyer	S	601.52	I	116
C10383	30/09/2008		I	FS	6368.7	Fuel Surcharge	0.07	0.08	445.81	C-Dax September Flyer	S	55.73	I	116

C10384	30/09/2008	951966	I	CI/1	25587	Fil The Dairy Farmer Spring 2008 - Job 7848 - Delivery IOA - 30 grams	0.12	0.135	3070.44	Fil The Dairy Farmer Spring 2008	S	383.8	I	120
C10384	30/09/2008	951966	I	FS	3070.44	Fuel Surcharge	0.07	0.08	214.93	Fil The Dairy Farmer Spring 2008	S	26.87	I	120

C10385	30/09/2008		I	CI/1	25863	Heartland Sheep - Job 8144 - Delivery 28 Sep 2008 - 230 grams	0.21	0.2363	5431.23	Heartland Sheep	S	678.9	I	124

C10386	30/09/2008		I	CI/1	75684	NZ Farmers Weekly - Job 7881 - Delivery 01 Sep 2008 - 105 grams	0.0875	0.0984	6622.35	NZ Farmers Weekly	S	827.79	I	124
C10386	30/09/2008		I	CI/2	75684	NZ Farmers Weekly - Job 7882 - Delivery 08 Sep 2008 - 85 grams	0.072	0.081	5449.248	NZ Farmers Weekly	S	681.16	I	124
C10386	30/09/2008		I	CI/3	81307	NZ Farmers Weekly  - Job 8127 - Delivery 29 Sep 2008 - 95 grams	0.1095	0.1232	8903.117	NZ Farmers Weekly 	S	1112.89	I	124
C10386	30/09/2008		I	CI/4	75684	NZ Farmers Weekly - Job 7883 - Delivery 15 Sep 2008 - 118 grams	0.0875	0.0984	6622.35	NZ Farmers Weekly	S	827.79	I	124
C10386	30/09/2008		I	CI/5	75684	NZ Farmers Weekly - Job 7884 - Delivery 22 Sep 2008 - 103 grams	0.0875	0.0984	6622.35	NZ Farmers Weekly	S	827.79	I	124

C10387	30/09/2008		I	CI/1	10911	Lifestyle Express - 2nd Issue - Job 8106 - Delivery 15 Sep 2008 - 25 grams	0.07	0.0788	763.77	Lifestyle Express - 2nd Issue	S	95.47	I	125
C10387	30/09/2008		I	FS	763.77	Fuel Surcharge	0.07	0.08	53.46	Lifestyle Express - 2nd Issue	S	6.68	I	125

C10388	30/09/2008	111369	I	CI/1	1910	Dairy NZ Flyer - Job 8320 - Delivery 30 Sep 2008 - 25 grams	0.07	0.0788	133.7	Dairy NZ Flyer	S	16.71	I	233
C10388	30/09/2008	111369	I	FS	133.7	Fuel Surcharge	0.07	0.08	9.36	Dairy NZ Flyer	S	1.17	I	233

C10389	30/09/2008	111297	I	CI/1	1458	Local Link - Jo Deutz Ebeling - Job 8247 - Delivery IOA - 5 grams	0.08	0.09	116.64	Local Link - Jo Deutz Ebeling	S	14.58	I	233
C10389	30/09/2008	111297	I	FS	116.64	Fuel Surcharge	0.07	0.08	8.16	Local Link - Jo Deutz Ebeling	S	1.02	I	233

C10390	30/09/2008		I	CI/1	913	Preside Postcard - Job 8085 - Delivery 15 Sep 2008 - 25 grams	0.07	0.0788	63.91	Preside Postcard	S	7.99	I	132
C10390	30/09/2008		I	FS	63.91	Fuel Surcharge	0.07	0.08	4.47	Preside Postcard	S	0.56	I	132

C10391	30/09/2008		I	CI/1	3056	Cambridge News - Job 8065 - Delivery 12 Sep 2008 - 75 grams	0.085	0.0956	259.76	Cambridge News	S	32.47	I	136
C10391	30/09/2008		I	CI/2	3056	Cambridge News - Job 8066 - Delivery 26 Sep 2008 - 75 grams	0.085	0.0956	259.76	Cambridge News	S	32.47	I	136
C10391	30/09/2008		I	FS	519.52	Fuel Surcharge	0.07	0.08	36.37	Cambridge News	S	4.55	I	136

C10392	30/09/2008		I	CI/1	12747	Magister - Job 8112 - Delivery 21 Sep 2008 - 25 grams	0.07	0.0788	892.29	Magister	S	111.54	I	138
C10392	30/09/2008		I	CI/2	2797	Metarex - Job 8092 - Delivery 14 Sep 2008 - 25 grams	0.07	0.0788	195.79	Metarex	S	24.47	I	138
C10392	30/09/2008		I	FS	1088.08	Fuel Surcharge	0.07	0.08	76.17	Metarex	S	9.52	I	138

C10393	30/09/2008	178684 July - Sep	I	CI/1	4032	Cambridge Edition - Job 7913 - Delivery 03 Sep 2008 - 118 grams	0.09	0.1012	362.88	Cambridge Edition	S	45.36	I	141
C10393	30/09/2008	178684 July - Sep	I	C100	2	Bundles	1	1.13	2	Cambridge Edition	S	0.25	I	141
C10393	30/09/2008	178684 July - Sep	I	CI/2	4032	Cambridge Edition - Job 7914 - Delivery 10 Sep 2008 - 262 grams	0.115	0.1294	463.68	Cambridge Edition	S	57.96	I	141
C10393	30/09/2008	178684 July - Sep	I	C100	2	Bundles	1	1.13	2	Cambridge Edition	S	0.25	I	141
C10393	30/09/2008	178684 July - Sep	I	CI/3	4032	Cambridge Edition - Job 7915 - Delivery 17 Sep 2008 - 240 grams	0.105	0.1181	423.36	Cambridge Edition	S	52.92	I	141
C10393	30/09/2008	178684 July - Sep	I	C100	2	Bundles	1	1.13	2	Cambridge Edition	S	0.25	I	141
C10393	30/09/2008	178684 July - Sep	I	CI/4	4032	Cambridge Edition - Job 7916 - Delivery 24 Sep 2008 - 342 grams	0.125	0.1406	504	Cambridge Edition	S	63	I	141
C10393	30/09/2008	178684 July - Sep	I	C100	2	Bundles	1	1.13	2	Cambridge Edition	S	0.25	I	141
C10393	30/09/2008	178684 July - Sep	I	FS	1761.92	Fuel Surcharge	0.07	0.08	123.33	Cambridge Edition	S	15.42	I	141

C10394	30/09/2008	178761 July - Sep	I	CI/1	2975	Dargaville District News - Job 7929 - Delivery 10 Sep 2008 - 69 grams	0.08	0.09	238	Dargaville District News	S	29.75	I	141
C10394	30/09/2008	178761 July - Sep	I	CI/2	2975	Dargaville District News - Job 7930 - Delivery 17 Sep 2008 - 64 grams	0.08	0.09	238	Dargaville District News	S	29.75	I	141
C10394	30/09/2008	178761 July - Sep	I	CI/3	2975	Dargaville District News - Job 7931 - Delivery 24 Sep 2008 - 187 grams	0.095	0.1069	282.625	Dargaville District News	S	35.33	I	141
C10394	30/09/2008	178761 July - Sep	I	CI/4	2975	Dargaville District News - Job 7928 - Delivery 03 Sep 2008 - 118 grams	0.09	0.1012	267.75	Dargaville District News	S	33.47	I	141
C10394	30/09/2008	178761 July - Sep	I	FS	1026.375	Fuel Surcharge	0.07	0.08	71.85	Dargaville District News	S	8.98	I	141

C10395	30/09/2008	178638 July - Sep	I	CI/1	11505	FCN - Thursday - Job 7941 - Delivery 25 Sep 2008 - 245 grams	0.105	0.1181	1208.025	FCN - Thursday	S	151	I	141
C10395	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Thursday	S	2.44	I	141
C10395	30/09/2008	178638 July - Sep	I	CI/2	11505	FCN - Thursday - Job 7938 - Delivery 04 Sep 2008 - 235 grams	0.105	0.1181	1208.025	FCN - Thursday	S	151	I	141
C10395	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Thursday	S	2.44	I	141
C10395	30/09/2008	178638 July - Sep	I	CI/3	11505	FCN - Thursday - Job 7939 - Delivery 11 Sep 2008 - 225 grams	0.105	0.1181	1208.025	FCN - Thursday	S	151	I	141
C10395	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Thursday	S	2.44	I	141
C10395	30/09/2008	178638 July - Sep	I	CI/4	11505	FCN - Thursday - Job 7940 - Delivery 18 Sep 2008 - 225 grams	0.105	0.1181	1208.025	FCN - Thursday	S	151	I	141
C10395	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Thursday	S	2.44	I	141
C10395	30/09/2008	178638 July - Sep	I	FS	4910.1	Fuel Surcharge	0.07	0.08	343.71	FCN - Thursday	S	42.96	I	141

C10396	30/09/2008	178638 July - Sep	I	CI/1	11505	FCN - Tuesday - Job 7933 - Delivery 02 Sep 2008 - 90 grams	0.08	0.09	920.4	FCN - Tuesday	S	115.05	I	141
C10396	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Tuesday	S	2.44	I	141
C10396	30/09/2008	178638 July - Sep	I	CI/2	11505	FCN - Tuesday - Job 7934 - Delivery 09 Sep 2008 - 80 grams	0.08	0.09	920.4	FCN - Tuesday	S	115.05	I	141
C10396	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Tuesday	S	2.44	I	141
C10396	30/09/2008	178638 July - Sep	I	CI/3	11505	FCN - Tuesday - Job 7935 - Delivery 16 Sep 2008 - 150 grams	0.09	0.1012	1035.45	FCN - Tuesday	S	129.43	I	141
C10396	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Tuesday	S	2.44	I	141
C10396	30/09/2008	178638 July - Sep	I	CI/4	11505	FCN - Tuesday - Job 7936 - Delivery 23 Sep 2008 - 90 grams	0.08	0.09	920.4	FCN - Tuesday	S	115.05	I	141
C10396	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Tuesday	S	2.44	I	141
C10396	30/09/2008	178638 July - Sep	I	CI/5	11505	FCN - Tuesday - Job 7937 - Delivery 30 Sep 2008 - 90 grams	0.08	0.09	920.4	FCN - Tuesday	S	115.05	I	141
C10396	30/09/2008	178638 July - Sep	I	C150	13	Bundles	1.5	1.69	19.5	FCN - Tuesday	S	2.44	I	141
C10396	30/09/2008	178638 July - Sep	I	FS	4814.55	Fuel Surcharge	0.07	0.08	337.02	FCN - Tuesday	S	42.13	I	141

C10397	30/09/2008	180807 June - Sep	I	CI/1	2201	Matamata Chronicle - Job 7943 - Delivery 02 Sep 2008 - 203 grams	0.105	0.1181	231.105	Matamata Chronicle	S	28.89	I	141
C10397	30/09/2008	180807 June - Sep	I	CI/2	2201	Matamata Chronicle - Job 7944 - Delivery 09 Sep 2008 - 276 grams	0.105	0.1181	231.105	Matamata Chronicle	S	28.89	I	141
C10397	30/09/2008	180807 June - Sep	I	CI/3	2216	Matamata Chronicle - Job 7945 - Delivery 16 Sep 2008 - 235 grams	0.105	0.1181	232.68	Matamata Chronicle	S	29.08	I	141
C10397	30/09/2008	180807 June - Sep	I	CI/4	2216	Matamata Chronicle - Job 7946 - Delivery 23 Sep 2008 - 372 grams	0.13	0.1463	288.08	Matamata Chronicle	S	36.01	I	141
C10397	30/09/2008	180807 June - Sep	I	CI/5	2216	Matamata Chronicle - Job 7947 - Delivery 30 Sep 2008 - 181 grams	0.095	0.1069	210.52	Matamata Chronicle	S	26.32	I	141
C10397	30/09/2008	180807 June - Sep	I	FS	1193.49	Fuel Surcharge	0.07	0.08	83.54	Matamata Chronicle	S	10.44	I	141

C10398	30/09/2008	180856 June - Sep	I	CI/1	3076	Nth Waikato News - Job 7948 - Delivery 03 Sep 2008 - 95 grams	0.08	0.09	246.08	Nth Waikato News	S	30.76	I	141
C10398	30/09/2008	180856 June - Sep	I	CI/2	3076	Nth Waikato News - Job 7949 - Delivery 10 Sep 2008 - 55 grams	0.08	0.09	246.08	Nth Waikato News	S	30.76	I	141
C10398	30/09/2008	180856 June - Sep	I	CI/3	3076	Nth Waikato News - Job 7950 - Delivery 17 Sep 2008 - 85 grams	0.08	0.09	246.08	Nth Waikato News	S	30.76	I	141
C10398	30/09/2008	180856 June - Sep	I	CI/4	3076	Nth Waikato News - Job 7951 - Delivery 24 Sep 2008 - 55 grams	0.08	0.09	246.08	Nth Waikato News	S	30.76	I	141
C10398	30/09/2008	180856 June - Sep	I	FS	984.32	Fuel Surcharge	0.07	0.08	68.9	Nth Waikato News	S	8.61	I	141

C10399	30/09/2008	182443 July/Sep	I	CI/1	3792	Piako Post - Job 7953 - Delivery 03 Sep 2008 - 156 grams	0.105	0.1181	398.16	Piako Post	S	49.77	I	141
C10399	30/09/2008	182443 July/Sep	I	C100	2	Bundles	1	1.13	2	Piako Post	S	0.25	I	141
C10399	30/09/2008	182443 July/Sep	I	CI/2	3792	Piako Post - Job 7954 - Delivery 10 Sep 2008 - 228 grams	0.115	0.1294	436.08	Piako Post	S	54.51	I	141
C10399	30/09/2008	182443 July/Sep	I	C100	2	Bundles	1	1.13	2	Piako Post	S	0.25	I	141
C10399	30/09/2008	182443 July/Sep	I	CI/3	3792	Piako Post - Job 7955 - Delivery 17 Sep 2008 - 246 grams	0.115	0.1294	436.08	Piako Post	S	54.51	I	141
C10399	30/09/2008	182443 July/Sep	I	C100	2	Bundles	1	1.13	2	Piako Post	S	0.25	I	141
C10399	30/09/2008	182443 July/Sep	I	CI/4	3792	Piako Post - Job 7956 - Delivery 24 Sep 2008 - 364 grams	0.13	0.1463	492.96	Piako Post	S	61.62	I	141
C10399	30/09/2008	182443 July/Sep	I	C100	2	Bundles	1	1.13	2	Piako Post	S	0.25	I	141
C10399	30/09/2008	182443 July/Sep	I	FS	1771.28	Fuel Surcharge	0.07	0.08	123.99	Piako Post	S	15.5	I	141

C10400	30/09/2008	187481 July-Sep	I	CI/1	3195	Rotorua Review - Job 7958 - Delivery 02 Sep 2008 - 100 grams	0.09	0.1012	287.55	Rotorua Review	S	35.94	I	141
C10400	30/09/2008	187481 July-Sep	I	C150	2	Bundles	1.5	1.69	3	Rotorua Review	S	0.38	I	141
C10400	30/09/2008	187481 July-Sep	I	CI/2	3195	Rotorua Review - Job 7959 - Delivery 09 Sep 2008 - 102 grams	0.09	0.1012	287.55	Rotorua Review	S	35.94	I	141
C10400	30/09/2008	187481 July-Sep	I	C150	2	Bundles	1.5	1.69	3	Rotorua Review	S	0.38	I	141
C10400	30/09/2008	187481 July-Sep	I	CI/3	3195	Rotorua Review - Job 7960 - Delivery 16 Sep 2008 - 60 grams	0.08	0.09	255.6	Rotorua Review	S	31.95	I	141
C10400	30/09/2008	187481 July-Sep	I	C150	2	Bundles	1.5	1.69	3	Rotorua Review	S	0.38	I	141
C10400	30/09/2008	187481 July-Sep	I	CI/4	3195	Rotorua Review - Job 7961 - Delivery 23 Sep 2008 - 60 grams	0.08	0.09	255.6	Rotorua Review	S	31.95	I	141
C10400	30/09/2008	187481 July-Sep	I	C150	2	Bundles	1.5	1.69	3	Rotorua Review	S	0.38	I	141
C10400	30/09/2008	187481 July-Sep	I	CI/5	3195	Rotorua Review - Job 7962 - Delivery 30 Sep 2008 - 74 grams	0.08	0.09	255.6	Rotorua Review	S	31.95	I	141
C10400	30/09/2008	187481 July-Sep	I	C150	2	Bundles	1.5	1.69	3	Rotorua Review	S	0.38	I	141
C10400	30/09/2008	187481 July-Sep	I	FS	1356.9	Fuel Surcharge	0.07	0.08	94.98	Rotorua Review	S	11.87	I	141

C10401	30/09/2008	187481	I	CI/1	3425	Rotorua Review CW LV Martin - Job 7912 - Delivery 23 Sep 2008 - 10 grams	0.07	0.0788	239.75	Rotorua Review CW LV Martin	S	29.97	I	141
C10401	30/09/2008	187481	I	C150	1	Bundles	1.5	1.69	1.5	Rotorua Review CW LV Martin	S	0.19	I	141
C10401	30/09/2008	187481	I	FS	241.25	Fuel Surcharge	0.07	0.08	16.89	Rotorua Review CW LV Martin	S	2.11	I	141

C10402	30/09/2008	179469 July - Sep	I	CI/1	2382	Sth Waikato News - Job 7965 - Delivery 17 Sep 2008 - 230 grams	0.105	0.1181	250.11	Sth Waikato News	S	31.26	I	141
C10402	30/09/2008	179469 July - Sep	I	CI/2	2382	Sth Waikato News - Job 7966 - Delivery 24 Sep 2008 - 224 grams	0.105	0.1181	250.11	Sth Waikato News	S	31.26	I	141
C10402	30/09/2008	179469 July - Sep	I	CI/3	2382	Sth Waikato News - Job 7963 - Delivery 03 Sep 2008 - 118 grams	0.09	0.1012	214.38	Sth Waikato News	S	26.8	I	141
C10402	30/09/2008	179469 July - Sep	I	CI/4	2382	Sth Waikato News - Job 7964 - Delivery 10 Sep 2008 - 330 grams	0.125	0.1406	297.75	Sth Waikato News	S	37.22	I	141
C10402	30/09/2008	179469 July - Sep	I	FS	1012.35	Fuel Surcharge	0.07	0.08	70.86	Sth Waikato News	S	8.86	I	141

C10403	30/09/2008	PO # 199290	I	CI/1	11656	Waikato Farmers Newspaper - Job 7911 - Delivery 11 Sep 2008 - 124 grams	0.16	0.18	1864.96	Waikato Farmers Newspaper	S	233.12	I	141
C10403	30/09/2008	PO # 199290	I	FS	1864.96	Fuel Surcharge	0.07	0.08	130.55	Waikato Farmers Newspaper	S	16.32	I	141

C10404	30/09/2008	178761 July - Sep	I	CI/1	8100	Whangarei Leader - Job 7968 - Delivery 02 Sep 2008 - 59 grams	0.07	0.0788	567	Whangarei Leader	S	70.88	I	141
C10404	30/09/2008	178761 July - Sep	I	CI/2	8100	Whangarei Leader - Job 7969 - Delivery 09 Sep 2008 - 91 grams	0.07	0.0788	567	Whangarei Leader	S	70.88	I	141
C10404	30/09/2008	178761 July - Sep	I	CI/3	8100	Whangarei Leader - Job 7970 - Delivery 16 Sep 2008 - 50 grams	0.07	0.0788	567	Whangarei Leader	S	70.88	I	141
C10404	30/09/2008	178761 July - Sep	I	CI/4	8100	Whangarei Leader - Job 7971 - Delivery 23 Sep 2008 - 60 grams	0.07	0.0788	567	Whangarei Leader	S	70.88	I	141
C10404	30/09/2008	178761 July - Sep	I	CI/5	8100	Whangarei Leader - Job 7972 - Delivery 30 Sep 2008 - 51 grams	0.07	0.0788	567	Whangarei Leader	S	70.88	I	141
C10404	30/09/2008	178761 July - Sep	I	FS	2835	Fuel Surcharge	0.07	0.08	198.45	Whangarei Leader	S	24.81	I	141

C10405	30/09/2008	PSO58	I	CI/1	22395	Pasture & Forage Seed - Job 8021 - Delivery 10 Sep 2008 - 35 grams	0.0975	0.1097	2183.513	Pasture & Forage Seed	S	272.94	I	243
C10405	30/09/2008	PSO58	I	FS	2183.513	Fuel Surcharge	0.07	0.08	152.85	Pasture & Forage Seed	S	19.11	I	243

C10406	30/09/2008		I	CI/1	561	AG Direct - Job 8250 - Delivery 23 Sep 2008 - 5 grams	0.1515	0.1704	84.992	AG Direct	S	10.62	I	131
C10406	30/09/2008		I	FS	84.992	Fuel Surcharge	0.07	0.08	5.95	AG Direct	S	0.74	I	131

C10407	30/09/2008		I	CI/1	5554	Mt Pokaka - Job 8213 - Delivery 22 Sep 2008 - 6 grams	0.07	0.0788	388.78	Mt Pokaka	S	48.6	I	131
C10407	30/09/2008		I	FS	388.78	Fuel Surcharge	0.07	0.08	27.21	Mt Pokaka	S	3.4	I	131

C10408	30/09/2008		I	CI/1	6281	Placemakers Taupo - Job 8063 - Delivery 11 Sep 2008 - 25 grams	0.085	0.0956	533.885	Placemakers Taupo	S	66.74	I	237
C10408	30/09/2008		I	FS	533.885	Fuel Surcharge	0.07	0.08	37.37	Placemakers Taupo	S	4.67	I	237

C10409	30/09/2008		I	CI/1	22356	Pasture & Forage Seed - Job 7844 - Delivery 10 Sep 2008 - 0 grams	0	0	0	Pasture & Forage Seed	S	0	I	242

C10410	30/09/2008	868	I	CI/1	2471	Alex Mowat Contracting - Job 8113 - Delivery 29 Sep 2008 - 25 grams	0.07	0.0788	172.97	Alex Mowat Contracting	S	21.62	I	159
C10410	30/09/2008		I	CI/2	2471	Andy Molloy DLE Flyer - Job 8079 - Delivery 01 Sep 2008 - 25 grams	0.07	0.0788	172.97	Andy Molloy DLE Flyer	S	21.62	I	159
C10410	30/09/2008	415	I	CI/3	1670	Tim Porter Newsletter - Job 8134 - Delivery 19 Sep 2008 - 0 grams	0.07	0.0788	116.9	Tim Porter Newsletter	S	14.61	I	159
C10410	30/09/2008	415	I	FS	462.84	Fuel Surcharge	0.07	0.08	32.4	Tim Porter Newsletter	S	4.05	I	159

C10411	30/09/2008		I	CI/1	830	Hibiscus Matters - Job 8313 - Delivery 29 Sep 2008 - 45 grams	0.075	0.0844	62.25	Hibiscus Matters	S	7.78	I	240
C10411	30/09/2008		I	CI/2	830	Hibiscus Matters - Job 7808 - Delivery 03 Sep 2008 - 40 grams	0.075	0.0844	62.25	Hibiscus Matters	S	7.78	I	240
C10411	30/09/2008		I	CI/3	830	Hibiscus Matters - Job 7809 - Delivery 17 Sep 2008 - 45 grams	0.075	0.0844	62.25	Hibiscus Matters	S	7.78	I	240
C10411	30/09/2008		I	FS	186.75	Fuel Surcharge	0.07	0.08	13.07	Hibiscus Matters	S	1.63	I	240

C10412	30/09/2008	2809172	I	CI/1	2740	230 Marua - Job 8117 - Delivery 23 Sep 2008 - 10 grams	0.0475	0.0534	130.15	230 Marua	S	16.27	I	169
C10412	30/09/2008	2809172	I	FS	130.15	Fuel Surcharge	0.07	0.08	9.11	230 Marua	S	1.14	I	169

C10413	30/09/2008	2809154	I	CI/1	6032	Abox For Sale New Containers - Job 8109 - Delivery 27 Sep 2008 - 10 grams	0.0475	0.0534	286.52	Abox For Sale New Containers	S	35.82	I	169
C10413	30/09/2008	2809154	I	FS	286.52	Fuel Surcharge	0.07	0.08	20.06	Abox For Sale New Containers	S	2.51	I	169

C10414	30/09/2008	2809110	I	CI/1	18084	Acrpass The Regions Horizon - Job 8081 - Delivery 06 Sep 2008 - 10 grams	0.0475	0.0534	858.99	Acrpass The Regions Horizon	S	107.37	I	169
C10414	30/09/2008	2809110	I	FS	858.99	Fuel Surcharge	0.07	0.08	60.13	Acrpass The Regions Horizon	S	7.52	I	169

C10415	30/09/2008	2809050	I	CI/1	1731	At Betta Electrical September Catalogue - Job 8019 - Delivery 09 Sep 2008 - 25 grams	0.0475	0.0534	82.223	At Betta Electrical September Catalogue	S	10.28	I	169
C10415	30/09/2008	2809050	I	FS	82.223	Fuel Surcharge	0.07	0.08	5.76	At Betta Electrical September Catalogue	S	0.72	I	169

